figure	panel	figure_main_claim	panel_title	independent_scientific_question	evidence_grade	data_source_class	evidence_data_type	source_data_file	plotting_code	metric	unit	n_definition	statistical_definition	effect_size_definition	confidence_interval_or_error_bar	missing_value_handling	batch_or_confounder_control	random_seed	reviewer_risk	panel_decision
Fig4	i	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Which diagnostic components sit above or below their predeclared thresholds by mechanism family?	Which diagnostic components sit above or below their predeclared thresholds by mechanism family?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_threshold_margin_by_family_metric.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 32 mechanism-family-metric rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; threshold direction must be stated in Methods.	keep; countable source-data-backed evidence panel
Fig4	j	Claim-specific diagnostics replace visual inspection as the primary evidence unit.	Do family-level gate summaries hide within-family method spread?	Do family-level gate summaries hide within-family method spread?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig4_family_internal_gate_range.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 20 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; range denominator is two methods per family.	keep; countable source-data-backed evidence panel
Fig5	a	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Do PBMC marker programs independently support cell labels?	Do PBMC marker programs independently support cell labels?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_pbmc_marker_program_table.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 56 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; independent of embedding coordinates.	keep; countable source-data-backed evidence panel
Fig5	b	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Do embedding neighbourhoods recover marker-supported PBMC labels?	Do embedding neighbourhoods recover marker-supported PBMC labels?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_pbmc_marker_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 64 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; marker and neighbour criteria must be defined.	keep; countable source-data-backed evidence panel
Fig5	c	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Do Paul15 lineage programs vary along pseudotime?	Do Paul15 lineage programs vary along pseudotime?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_paul15_lineage_marker_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 5 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; descriptive lineage validation.	keep; countable source-data-backed evidence panel
Fig5	d	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Which biological claim types have independent support?	Which biological claim types have independent support?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_independent_evidence_audit.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 4 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; denominator shown on bars.	keep; countable source-data-backed evidence panel
Fig5	e	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Are heart atlas cell types anchored by marker programs?	Are heart atlas cell types anchored by marker programs?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_heart_marker_program_table.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 110 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; independent marker evidence.	keep; countable source-data-backed evidence panel
Fig5	f	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Which methods recover rare-state neighbourhoods?	Which methods recover rare-state neighbourhoods?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_rare_state_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 56 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; rare threshold must be stated.	keep; countable source-data-backed evidence panel
Fig5	g	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Does marker support guarantee neighbourhood recovery?	Does marker support guarantee neighbourhood recovery?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_marker_vs_neighbour_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 64 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; point size encodes label cell count.	keep; countable source-data-backed evidence panel
Fig5	h	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Which families jointly satisfy marker and neighbour evidence?	Which families jointly satisfy marker and neighbour evidence?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_family_marker_support_summary.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 32 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; dual support definition must be stated.	keep; countable source-data-backed evidence panel
Fig5	i	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Does rare-state support depend on context and family?	Does rare-state support depend on context and family?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_rare_support_by_family.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 8 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; pass threshold defined.	keep; countable source-data-backed evidence panel
Fig5	j	Independent biological anchors reveal which embeddings preserve cell identity, lineage and donor-variable structure.	Can heart identity support be interpreted without donor-aware evidence?	Can heart identity support be interpreted without donor-aware evidence?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig5_heart_identity_donor_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 8 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; donor-aware threshold must be stated.	keep; countable source-data-backed evidence panel
Fig6	a	Empirical robustness diagnostics define where method-specific claims remain stable.	Does label support change when output dimension increases?	Does label support change when output dimension increases?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_output_dimension_response.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 240 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; method-specific robustness subset.	keep; countable source-data-backed evidence panel
Fig6	b	Empirical robustness diagnostics define where method-specific claims remain stable.	Does upstream PCA dimension change global geometry?	Does upstream PCA dimension change global geometry?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_upstream_pca_response.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 144 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; graph/relational subset.	keep; countable source-data-backed evidence panel
Fig6	c	Empirical robustness diagnostics define where method-specific claims remain stable.	Does dropout stress alter label support?	Does dropout stress alter label support?	H5 empirical-derived robustness stress test	D5 hybrid empirical-perturbation	hybrid empirical-perturbation stress test	fig6_dropout_noise_response.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 192 method-perturbation-metric rows	Thresholded empirical-derived stress-test or evidence-layer support fraction; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; computational stress replicates.	keep; countable source-data-backed evidence panel
Fig6	d	Empirical robustness diagnostics define where method-specific claims remain stable.	Does noise stress alter local trustworthiness?	Does noise stress alter local trustworthiness?	H5 empirical-derived robustness stress test	D5 hybrid empirical-perturbation	hybrid empirical-perturbation stress test	fig6_dropout_noise_response.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 192 method-perturbation-metric rows	Thresholded empirical-derived stress-test or evidence-layer support fraction; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; computational stress replicates.	keep; countable source-data-backed evidence panel
Fig6	e	Empirical robustness diagnostics define where method-specific claims remain stable.	Output-dimension failure is method-specific	Which methods fail under output-dimension changes?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_dimension_failure_by_method_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 16 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; all values are empirical-derived robustness summaries with no imputation.	keep; countable source-data-backed evidence panel
Fig6	f	Empirical robustness diagnostics define where method-specific claims remain stable.	Which metrics fail in worst-case robustness conditions?	Which metrics fail in worst-case robustness conditions?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_worst_case_support.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 25 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; robustness subset.	keep; countable source-data-backed evidence panel
Fig6	g	Empirical robustness diagnostics define where method-specific claims remain stable.	Upstream-PCA failure by method	Which methods are sensitive to upstream PCA representation?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_upstream_failure_by_method_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 16 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; upstream-PCA levels are predeclared and source-data rows are explicit.	keep; countable source-data-backed evidence panel
Fig6	h	Empirical robustness diagnostics define where method-specific claims remain stable.	Which datasets remain below diagnostic thresholds under output-dimension changes?	Which datasets remain below diagnostic thresholds under output-dimension changes?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_dimension_failure_by_dataset_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 12 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; derived from predeclared output-dimension rows and reports dataset-specific failure rather than a workflow trigger.	keep; countable source-data-backed evidence panel
Fig6	i	Empirical robustness diagnostics define where method-specific claims remain stable.	Which diagnostics shift with higher output dimension?	Which diagnostics shift with higher output dimension?	E5 empirical robustness/sensitivity	D2 empirical-derived analysis	empirical-derived robustness	fig6_dimension_sensitivity_slopes.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 48 method-metric or method-dataset-metric rows, as encoded in source data	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; output-dimension subset.	keep; countable source-data-backed evidence panel
Fig6	j	Empirical robustness diagnostics define where method-specific claims remain stable.	Perturbation failure is metric-specific	Which diagnostic metrics fail under dropout and noise stress?	H5 empirical-derived robustness stress test	D5 hybrid empirical-perturbation	hybrid empirical-perturbation stress test	fig6_perturbation_failure_by_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 8 source-data rows	Thresholded empirical-derived stress-test or evidence-layer support fraction; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; computational dropout/noise stress must not be described as new biological sampling.	keep; countable source-data-backed evidence panel
Fig7	a	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which claim gates fail most often?	Which claim gates fail most often?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_gate_failure_by_gate.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 5 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; denominators are shown and gates are predeclared.	keep; countable source-data-backed evidence panel
Fig7	b	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which methods fail which claim gates?	Which methods fail which claim gates?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_gate_failure_by_method.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 40 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; all eight representative methods are retained.	keep; countable source-data-backed evidence panel
Fig7	c	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which biological contexts fail which claim gates?	Which biological contexts fail which claim gates?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_gate_failure_by_dataset.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 11 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; missing cells correspond to inapplicable dataset-gate combinations and must be shown as not applicable.	keep; countable source-data-backed evidence panel
Fig7	d	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which mechanism families fail which claim gates?	Which mechanism families fail which claim gates?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_gate_failure_by_family.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 20 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; family aggregation is paired with method-level panel b.	keep; countable source-data-backed evidence panel
Fig7	e	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which diagnostic components drive gate failures?	Which diagnostic components drive gate failures?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_component_failure_by_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 8 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; threshold directions are defined in Methods.	keep; countable source-data-backed evidence panel
Fig7	f	Failure-mode analysis identifies claim-specific diagnostic vulnerabilities.	Which components fall above or below thresholds by mechanism family?	Which components fall above or below thresholds by mechanism family?	E3 empirical diagnostic evidence	D2 empirical-derived analysis	empirical-derived diagnostic analysis	fig7_component_margin_by_family_metric.csv	figures/plot_figures_5_7.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 32 mechanism-family-metric rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Medium; not-applicable cells must remain explicit.	keep; countable source-data-backed evidence panel
