figure,panel,figure main claim,panel scientific question,evidence type,source data file,metric or statistical definition,n definition,missing and exclusion rule,inferential scope,reviewer-risk control
SuppS7,e,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",How many gate decisions gain or lose support relative to baseline?,deterministic decision-change analysis,SuppS7_boundary_sensitivity_changes.csv,"Count of gained, lost and unchanged decisions at each non-zero boundary shift.",n = 88 applicable decisions per shift.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS7,f,"The principal gate conclusions persist across a defined range of operational boundaries, while near-boundary decisions remain conditional.",Can a method's average baseline support conceal boundary-sensitive decisions?,method-level boundary sensitivity synthesis,SuppS7_boundary_sensitivity_method_summary.csv,Baseline pass fraction versus minimum unchanged fraction across four non-zero shifts.,n = 11 applicable decisions per method; eight methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,a,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,How reproducible are local embedding neighbourhoods across random seeds?,computational random-seed stability,SuppS8_multiseed_embedding_stability.csv,Pairwise k-nearest-neighbour overlap at k=15.,n = 10 seed pairs per method-dataset combination; 240 comparisons in total.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,b,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,How reproducible are global embedding-distance ranks across random seeds?,computational random-seed stability,SuppS8_multiseed_embedding_stability.csv,"Pairwise Spearman concordance over 5,000 fixed cell-pair distances.",n = 10 seed pairs per method-dataset combination; 240 comparisons in total.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,c,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,Which diagnostic values vary most across five random seeds?,computational metric dispersion,SuppS8_multiseed_metric_dispersion.csv,"Maximum minus minimum diagnostic value across seeds, resolved by method, context and metric.",n = five seeds for each of 96 method-dataset-metric combinations.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,d,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,Which method and diagnostic has the weakest seed-specific threshold margin?,computational worst-case sensitivity,SuppS8_multiseed_metric_runs.csv,Minimum observed value minus the fixed operational boundary across all seeds and contexts.,n = 15 method-dataset-seed runs per method and metric.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,e,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,Does neighbourhood stability depend on biological context and catalogue navigation group?,context-resolved random-seed stability,SuppS8_multiseed_embedding_stability.csv,Mean pairwise neighbourhood overlap by context and navigation group; ranges span the two constituent methods.,n = 20 seed-pair values per navigation group and context.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS8,f,Local neighbourhoods are more sensitive to computational random seeds than global distance ranks under the evaluated implementations.,Which methods retain both local and global structure in their least stable context?,worst-context random-seed stability,SuppS8_multiseed_method_summary.csv,Minimum context-level mean neighbourhood overlap versus minimum context-level mean distance-rank concordance.,"n = three contexts, five seeds and ten seed pairs per method-context combination.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS9,a,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,How does Mantel concordance change across specification definitions and binary distances?,coding sensitivity,SuppS9_signature_definition_sensitivity.csv,Exact Mantel Spearman rho for ten encodings in empirical and known-truth profile space.,"n = 8 methods and 40,320 label permutations per test.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS9,b,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,Which coding-dependent tests meet the nominal exact P = 0.05 boundary?,coding sensitivity,SuppS9_signature_definition_sensitivity.csv,Negative log10 exact two-sided P value.,n = 20 overlapping coding-profile tests; no family-wide adjusted inference is claimed.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Nominal exact two-sided P values are displayed across overlapping coding-sensitivity analyses; no family-wide adjusted claim is made.,"The overlapping encodings are sensitivity analyses rather than independent confirmatory tests, so the P values are not used for a method-ranking claim."
SuppS9,c,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,Is empirical concordance driven by one method?,leave-one-method-out influence analysis,SuppS9_leave_one_method_out.csv,Exact Mantel rho after each method omission.,n = 7 methods per omission.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS9,d,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,Is known-truth concordance driven by one method?,leave-one-method-out influence analysis,SuppS9_leave_one_method_out.csv,Exact Mantel rho after each method omission.,n = 7 methods per omission.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS9,e,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,Which encoded features most influence the primary concordance?,leave-one-feature-out influence analysis,SuppS9_leave_one_feature_out.csv,Change in Mantel rho after deleting one binary feature.,n = 16 remaining features per deletion; feature-deletion analyses overlap.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS9,f,Specification-to-behaviour concordance depends on the encoded feature set and is not supported by objective terms alone.,Do Jaccard and Hamming distances weight sparse specifications similarly?,binary-distance comparison,SuppS9_pairwise_distance_sensitivity.csv,Pairwise Jaccard versus Hamming specification distance.,n = 28 unique method pairs.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,a,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,How does PCA reference dimension alter local retention?,local-reference calibration,SuppS10_local_reference_sensitivity.csv,Mean local retention by method and reference dimension across contexts at k = 15.,n = 3 contexts per method-reference cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,b,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,How does neighbourhood size alter local retention?,local-reference calibration,SuppS10_local_reference_sensitivity.csv,Mean local retention by method and k across contexts using PCA50.,n = 3 contexts per method-k cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,c,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,Does matching the reference dimension to the embedding change overlap?,paired local-reference calibration,SuppS10_local_reference_sensitivity.csv,Local retention against PCA2 versus PCA50 for matched method-context rows.,n = 24 matched method-context rows.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,d,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,Does observed overlap exceed a label-preserving permutation null?,permutation calibration,SuppS10_local_permutation_null.csv; SuppS10_local_reference_sensitivity.csv,Observed local retention compared with 100 within-label neighbour permutations.,"n = 24 method-context analyses and 2,400 permutation rows.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Observed local retention is compared descriptively with 100 label-preserving neighbour permutations for each method-context analysis; no tail-probability claim is made.,The permutation distribution calibrates overlap expected under preserved labels and does not represent biological replication.
SuppS10,e,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,How many analyses fall below 0.30 under each reference-by-k definition?,boundary-count calibration,SuppS10_boundary_count_sensitivity.csv,Count below the fixed display boundary.,n = 24 analyses per definition.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,f,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,Are method ranks stable across reference dimensions?,rank calibration,SuppS10_reference_rank_stability.csv,Spearman correlation of eight method ranks.,n = 8 methods per dataset and reference pair.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,g,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,Does biological context remain visible at the primary calibration setting?,context-resolved calibration,SuppS10_local_reference_sensitivity.csv,Local retention at PCA50 and k = 15 by method and dataset.,n = one result per method-context row.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS10,h,Local-retention values and method ordering depend on the high-dimensional reference and neighbourhood size.,How far does overlap lie above random expectation?,random-normalised calibration,SuppS10_local_reference_sensitivity.csv,Observed overlap minus analytical random expectation.,n = 3 contexts per method; whiskers are observed ranges.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,a,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,How strongly does Paul15 DPT ordering depend on the selected root?,trajectory-root sensitivity,SuppS11_dpt_root_concordance.csv,Cell-level Spearman concordance between four DPT orderings.,"n = 2,730 cells per root pair.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,b,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,How does pooled pseudotime-distance agreement change across roots?,trajectory-root sensitivity,SuppS11_root_sensitive_continuum_metrics.csv,Spearman correlation of sampled pseudotime distances.,n = 8 methods per root.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,c,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,How does local pseudotime-order retention change across roots?,trajectory-root sensitivity,SuppS11_root_sensitive_continuum_metrics.csv,Fraction of reference pseudotime neighbours retained locally.,n = 8 methods per root.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,d,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,Which Paul15 lineages retain within-lineage pseudotime distance?,lineage-restricted trajectory analysis,SuppS11_lineage_restricted_metrics.csv,Within-lineage Spearman distance correlation.,n = 8 methods per lineage.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,e,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,Are branch labels retained in embedding neighbourhoods?,branch-label analysis,SuppS11_same_branch_neighbour_fraction.csv,Same-branch neighbour fraction at k = 15.,n = 8 methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,f,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,Do pooled and branch-aware continuum endpoints agree?,endpoint comparison,SuppS11_root_sensitive_continuum_metrics.csv; SuppS11_lineage_restricted_metrics.csv,Stored-root pooled rho versus median within-lineage rho.,n = 8 methods.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,g,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,How often does each method meet the pooled boundary across roots?,root-decision sensitivity,SuppS11_root_sensitive_continuum_metrics.csv,Fraction of four roots meeting 0.45.,n = 4 roots per method.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS11,h,Pooled Paul15 continuum conclusions depend on DPT root choice and differ from lineage-restricted preservation.,Are method ranks stable across root definitions?,root-rank sensitivity,SuppS11_root_method_rank_stability.csv,Spearman correlation of eight method ranks between roots.,n = 8 methods per root pair.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS12,a,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,How are matched baseline-to-condition transitions distributed by analytical axis?,matched robustness transitions,SuppS12_transition_summary.csv,Fraction passing or failing before and after each condition.,n = 416 matched non-baseline conditions.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS12,b,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,What fraction of supported baselines lose support under each axis?,matched robustness transitions,SuppS12_axis_loss.csv,Pass-to-fail fraction among baseline-supported comparisons.,n = 56 to 96 eligible comparisons per axis.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS12,c,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,Which methods lose support under each analytical axis?,method-resolved robustness transitions,SuppS12_method_loss.csv,Pass-to-fail count divided by baseline-supported comparisons.,n is displayed for each valid method-axis cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS12,d,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,Which diagnostics lose support under each analytical axis?,diagnostic-resolved robustness transitions,SuppS12_metric_loss.csv,Pass-to-fail count divided by baseline-supported comparisons.,Cells with no supported baseline are labelled 0 eligible.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS12,e,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,Which non-baseline settings cause support loss?,condition-resolved robustness transitions,SuppS12_condition_loss.csv,Pass-to-fail fraction by non-baseline setting.,n is the baseline-supported matched comparisons at each setting.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Computational condition rows are not independent biological replicates; ranges are not confidence intervals.
SuppS12,f,Robustness is quantified by matched support transitions rather than by the prevalence of below-boundary rows alone.,How do non-baseline conditions shift diagnostic margins?,matched margin analysis,SuppS12_robustness_transitions.csv,Condition margin minus baseline margin.,n = 416 matched conditions; points are computational conditions.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,a,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,How does run-level support vary across six simulation scenarios?,independent generated-dataset replication,SuppS13_run_summary.csv,Fraction of applicable diagnostics meeting their boundary in each method-scenario-generated-dataset run.,"n = 40 runs per scenario, comprising 8 methods and 5 independently generated datasets.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,b,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,Which method-scenario support summaries vary across generated datasets?,independent generated-dataset replication,SuppS13_method_scenario.csv,Maximum minus minimum run-level support across five generated datasets.,n = 5 generated datasets per method-scenario cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,c,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,Which known-truth claim axes are supported by each method?,known-truth claim summary,SuppS13_method_claim.csv,Pass fraction over all applicable metric rows from five generated datasets.,n depends on the scenarios and metrics contributing to each method-claim cell.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,d,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,Are boundary decisions reproducible across generated datasets?,generated-dataset decision agreement,SuppS13_decision_agreement.csv,Pairwise decision agreement among five generated datasets.,n = 10 generated-dataset pairs per method-scenario-metric combination.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,e,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,Which known-truth metrics vary most across generated datasets?,generated-dataset metric dispersion,SuppS13_decision_agreement.csv,Maximum minus minimum metric value across five generated datasets.,n is method-scenario-metric combinations.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
SuppS13,f,Known-truth conclusions are evaluated across five independently generated datasets per scenario.,Can mean support conceal a weak generated dataset?,generated-dataset bottleneck analysis,SuppS13_method_summary.csv,Mean versus worst run-level support across 30 runs per method.,n = 30 method-scenario-generated-dataset runs per method.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
